Minutes,Games,iteration,Average_Score,High_Score,Epsilon,,,,,,,Seconds (plus the mintues)
0,1,129,48,48,0.099871129,,,,,,,12.74
0,2,224,42,48,0.099776224,,,,,,,19.2
0,3,298,42,48,0.099702298,,,,,,,24.12
0,4,369,42,48,0.099631369,,,,,,,29.03
0,5,457,53,53,0.099543457,,,,,,,35.11
0,6,542,50,53,0.099458542,,,,,,,40.91
0,7,614,42,53,0.099386614,,,,,,,45.84
0,8,685,42,53,0.099315685,,,,,,,50.74
0,9,757,43,53,0.099243757,,,,,,,55.68
1,10,859,61,61,0.099141859,,,,,,,2.65
1,11,926,42,61,0.099074926,,,,,,,7.66
1,12,994,42,61,0.099006994,,,,,,,12.56
1,13,1084,54,61,0.098917084,,,,,,,18.82
1,14,1156,42,61,0.098845156,,,,,,,23.75
1,15,1227,42,61,0.098774227,,,,,,,28.7
1,16,1297,42,61,0.098704297,,,,,,,33.57
1,17,1367,42,61,0.098634367,,,,,,,38.51
1,18,1438,42,61,0.098563438,,,,,,,43.41
1,19,1509,42,61,0.098492509,,,,,,,48.32
1,20,1590,53,61,0.09841159,,,,,,,54.38
1,21,1661,42,61,0.098340661,,,,,,,59.3
2,22,1729,42,61,0.098272729,,,,,,,4.2
2,23,1799,42,61,0.098202799,,,,,,,9.08
2,24,1871,42,61,0.098130871,,,,,,,14.02
2,25,1957,50,61,0.098044957,,,,,,,19.84
2,26,2030,43,61,0.09797203,,,,,,,24.83
2,27,2103,42,61,0.097899103,,,,,,,29.73
2,28,2190,51,61,0.09781219,,,,,,,35.56
2,29,2312,71,71,0.097690312,,,,,,,43.69
2,30,2428,52,71,0.097574428,,,,,,,51.61
2,31,2537,42,71,0.097465537,,,,,,,59.05
3,32,2611,44,71,0.097391611,,,,,,,4.13
3,33,2684,43,71,0.097318684,,,,,,,9.13
3,34,2894,129,129,0.097108894,,,,,,,23.63
3,35,2978,52,129,0.097024978,,,,,,,29.65
3,36,3051,43,129,0.096952051,,,,,,,34.58
3,37,3191,84,129,0.096812191,,,,,,,44.18
3,38,3265,42,129,0.096738265,,,,,,,49.08
3,39,3340,42,129,0.09666334,,,,,,,53.97
4,40,3435,55,129,0.096568435,,,,,,,0.24
4,41,3555,69,129,0.096448555,,,,,,,8.07
4,42,3643,51,129,0.096360643,,,,,,,13.93
4,43,3716,42,129,0.096287716,,,,,,,18.84
4,44,3808,53,129,0.096195808,,,,,,,24.97
4,45,3882,42,129,0.096121882,,,,,,,29.89
4,46,3999,70,129,0.096004999,,,,,,,37.82
4,47,4104,61,129,0.095900104,,,,,,,44.87
4,48,4175,43,129,0.095829175,,,,,,,49.83
4,49,4270,55,129,0.09573427,,,,,,,56.13
5,50,4345,42,129,0.095659345,,,,,,,1.05
5,51,4417,42,129,0.095587417,,,,,,,5.91
5,52,4537,71,129,0.095467537,,,,,,,13.97
5,53,4611,43,129,0.095393611,,,,,,,18.95
5,54,4705,54,129,0.095299705,,,,,,,25.12
5,55,4780,42,129,0.09522478,,,,,,,30.02
5,56,4894,68,129,0.095110894,,,,,,,37.81
5,57,4979,49,129,0.095025979,,,,,,,43.48
5,58,5067,50,129,0.094938067,,,,,,,49.25
5,59,5142,42,129,0.094863142,,,,,,,54.17
5,60,5216,42,129,0.094789216,,,,,,,59.12
6,61,5290,42,129,0.09471529,,,,,,,4
6,62,5378,51,129,0.094627378,,,,,,,9.95
6,63,5452,42,129,0.094553452,,,,,,,14.82
